,2013-01-11,2013-01-18,2013-01-25,2013-02-01,2013-02-08,2013-02-15,2013-02-22,2013-03-01,2013-03-08,2013-03-11,
1.75_10_400,102630.40000000005,108250.15,105288.64999999995,110968.04999999992,117841.92999999988,123458.93999999989,123284.06999999996,126919.14999999994,120495.97999999994,121739.13999999997,
1.0_5_200,105297.40000000002,109479.54000000007,105555.40000000011,112444.5300000001,119971.62000000016,128320.11000000019,125768.38000000016,123980.93000000015,117744.21000000015,119302.2200000001,
1.0_10_400,104981.92999999995,109101.44,105730.87000000005,109941.27000000003,118335.68000000008,124302.53000000009,123866.3500000001,128196.95000000007,118245.92000000009,119807.43000000004,
1.75_21_200,103088.34000000004,106645.07999999997,105116.54999999996,108524.58999999995,112460.77999999994,115470.42999999988,114873.14999999986,114330.62999999983,109124.86999999985,110064.54999999989,
1.5_21_200,102815.00000000007,106821.96999999999,105440.63999999998,109904.30999999997,114477.75999999992,118280.31999999992,116886.10999999991,115142.4799999999,110631.12999999987,111712.27999999998,
1.0_10_200,104501.22999999995,108359.43,106816.69000000003,112096.0,120381.91000000003,127296.29000000007,125159.48000000008,123633.81000000003,117734.0900000001,119078.60000000005,
1.25_10_200,103942.10000000003,109301.85000000012,108523.74000000014,113919.30000000013,120579.64000000014,127549.35000000018,125824.51000000017,124754.97000000013,120090.35000000015,121345.41000000025,
1.75_21_300,103041.08000000005,106742.11999999998,103749.28999999996,106657.32999999996,110633.71999999994,113711.48999999987,113115.27999999987,115582.67999999985,108441.18999999981,109380.86999999985,
1.0_21_400,105613.57,109907.3500000001,104396.06000000006,108982.93000000007,115015.41000000002,119974.55999999998,118799.08000000005,121731.82000000005,111765.90000000002,112913.68000000005,
1.0_21_200,104854.10000000002,108649.19000000009,107347.86000000009,112265.59000000008,118272.85000000003,124595.30000000002,123579.53000000009,121150.13000000006,115041.83000000007,116173.4100000001,
1.25_21_200,103287.98000000001,107387.65000000002,105991.68000000001,110263.42000000001,115184.98000000004,119694.05000000006,117902.71000000008,115282.32000000005,110148.01000000001,111314.35000000005,
1.5_10_300,103447.34000000016,108775.01000000014,106222.06000000016,109968.4900000001,117106.19000000015,123646.53000000013,123054.9600000001,126795.62000000004,120214.88000000003,121503.63000000005,
1.5_10_400,103404.29000000014,108783.71000000012,105558.37000000013,109996.17000000007,117270.89000000012,123495.9700000001,123945.0700000001,127525.77000000003,119816.68000000004,121105.43000000005,
2.0_5_300,103256.8600000001,108340.05000000015,106898.72000000012,112334.71000000012,119562.59000000005,126814.70000000007,127778.6000000001,130857.7300000001,124894.2300000001,126786.17000000007,
2.0_21_200,102721.56000000001,105434.22000000002,104089.63000000002,106875.99000000003,110319.02000000003,113084.95,113118.75999999998,113846.83999999997,110206.18000000001,110847.55,
2.0_10_200,103083.54000000004,107156.93000000008,106792.34000000004,111472.85000000002,116815.9299999999,123170.34999999987,123260.38999999985,125441.13999999978,122392.34999999979,123313.41999999977,
2.0_5_400,103316.2100000001,109055.48000000011,107202.73000000008,112940.24000000012,119949.08000000005,126772.73000000005,127139.69000000009,129510.99000000009,122099.74000000009,123991.68000000007,
1.0_5_400,106264.31000000006,111352.52000000012,105850.74000000017,111717.47000000018,118528.51000000027,125515.38000000028,124737.49000000027,128943.44000000025,118335.04000000021,120098.55000000016,
1.75_5_200,104938.01000000001,110823.25000000003,110307.31,116013.21999999999,124414.21999999999,131878.05000000013,133107.31000000023,135453.43000000028,130883.08000000035,132436.1900000003,
2.0_5_200,104055.7600000001,109165.00000000013,109592.3700000001,115719.87000000011,123060.20000000004,130705.62000000008,131269.64000000013,133862.54000000033,129617.81000000039,131322.1500000003,
1.25_5_300,105244.65,109896.89000000004,105717.49000000002,111639.87000000004,118949.36000000013,126248.79000000011,125522.31000000006,129975.63999999997,121372.69999999998,122971.53999999992,
1.0_21_300,105508.22000000002,109430.76000000008,105357.33000000007,110077.16000000006,115871.20000000001,121443.74999999999,120482.23000000004,123713.76000000004,115264.66000000002,116412.44000000005,
1.5_10_200,103509.60000000015,108955.15000000014,109019.48000000016,113155.61000000012,120100.49000000015,126969.54000000015,126127.8800000001,125753.25000000006,121106.2400000001,122215.49000000012,
1.5_5_200,104631.04999999999,110676.24000000005,109407.47000000004,115093.17000000004,123699.7000000001,131438.63000000015,131897.27000000022,133457.73000000033,127909.09000000039,129365.26000000036,
2.0_10_300,102995.67000000003,107850.68000000007,105606.34000000004,110445.16,115945.95999999989,121708.11999999985,121801.61999999986,125581.1399999998,120508.8099999998,121412.57999999977,
1.25_21_300,103921.81000000003,107282.58000000005,103723.91000000003,108705.45000000004,113075.81000000007,116861.9800000001,115300.26000000013,117151.9600000001,109917.73000000004,111066.77000000008,
1.25_5_200,104698.19999999998,109112.17000000003,106409.00000000004,112893.4600000001,121403.60000000017,129913.37000000017,127737.91000000013,128635.03000000004,122590.30000000008,123983.64000000001,
