,2013-01-11,2013-01-18,2013-01-25,2013-02-01,2013-02-08,2013-02-15,2013-02-22,2013-03-01,2013-03-08,2013-03-11,
1.75_10_400_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.75_10_400_VOL,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,
1.75_10_400_CREDIT,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,
1.0_5_200_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.0_5_200_VOL,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,
1.0_5_200_CREDIT,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,
1.0_10_400_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.0_10_400_VOL,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,
1.0_10_400_CREDIT,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,
1.75_21_200_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.75_21_200_VOL,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,
1.75_21_200_CREDIT,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,
1.5_21_200_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.5_21_200_VOL,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,
1.5_21_200_CREDIT,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,
1.0_10_200_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.0_10_200_VOL,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,
1.0_10_200_CREDIT,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,
1.25_10_200_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.25_10_200_VOL,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,
1.25_10_200_CREDIT,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,
1.75_21_300_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
1.75_21_300_VOL,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,
1.75_21_300_CREDIT,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
1.0_21_400_PL,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,5.001,4.999,
