,1/11/2008,1/18/2008,1/25/2008,2/1/2008,2/8/2008,2/15/2008,2/22/2008,2/29/2008,3/7/2008,3/14/2008,3/20/2008,3/28/2008,4/4/2008,4/11/2008,4/18/2008,4/25/2008,5/2/2008,5/9/2008,5/16/2008,5/23/2008,5/30/2008,6/6/2008,6/13/2008,6/20/2008,6/27/2008,7/3/2008,7/11/2008,7/18/2008,7/25/2008,8/1/2008,8/8/2008,8/15/2008,8/22/2008,8/29/2008,9/5/2008,9/12/2008,9/19/2008,9/26/2008,10/3/2008,10/10/2008,10/17/2008,10/24/2008,10/31/2008,11/7/2008,11/14/2008,11/21/2008,11/28/2008,12/5/2008,12/12/2008,12/19/2008,12/26/2008,1/2/2009,1/9/2009,1/16/2009,1/23/2009,1/30/2009,2/6/2009,2/13/2009,2/20/2009,2/27/2009,3/6/2009,3/13/2009,3/20/2009,3/27/2009,4/3/2009,4/9/2009,4/17/2009,4/24/2009,5/1/2009,5/8/2009,5/15/2009,5/22/2009,5/29/2009,6/5/2009,6/12/2009,6/19/2009,6/26/2009,7/2/2009,7/10/2009,7/17/2009,7/24/2009,7/31/2009,8/7/2009,8/14/2009,8/21/2009,8/28/2009,9/4/2009,9/11/2009,9/18/2009,9/25/2009,10/2/2009,10/9/2009,10/16/2009,10/23/2009,10/30/2009,11/6/2009,11/13/2009,11/20/2009,11/27/2009,12/4/2009,12/11/2009,12/18/2009,12/24/2009,12/31/2009,1/8/2010,1/15/2010,1/22/2010,1/29/2010,2/5/2010,2/12/2010,2/19/2010,2/26/2010,3/5/2010,3/12/2010,3/19/2010,3/26/2010,4/1/2010,4/9/2010,4/16/2010,4/23/2010,4/30/2010,5/7/2010,5/14/2010,5/21/2010,5/28/2010,6/4/2010,6/11/2010,6/18/2010,6/25/2010,7/2/2010,7/9/2010,7/16/2010,7/23/2010,7/30/2010,8/6/2010,8/13/2010,8/20/2010,8/27/2010,9/3/2010,9/10/2010,9/17/2010,9/24/2010,10/1/2010,10/8/2010,10/15/2010,10/22/2010,10/29/2010,11/5/2010,11/12/2010,11/19/2010,11/26/2010,12/3/2010,12/10/2010,12/17/2010,12/23/2010,12/31/2010,1/7/2011,1/14/2011,1/21/2011,1/28/2011,2/4/2011,2/11/2011,2/18/2011,2/25/2011,3/4/2011,3/11/2011,3/18/2011,3/25/2011,4/1/2011,4/8/2011,4/15/2011,4/21/2011,4/29/2011,5/6/2011,5/13/2011,5/20/2011,5/27/2011,6/3/2011,6/10/2011,6/17/2011,6/24/2011,7/1/2011,7/8/2011,7/15/2011,7/22/2011,7/29/2011,8/5/2011,8/12/2011,8/19/2011,8/26/2011,9/2/2011,9/9/2011,9/16/2011,9/23/2011,9/30/2011,10/7/2011,10/14/2011,10/21/2011,10/28/2011,11/4/2011,11/11/2011,11/18/2011,11/25/2011,12/2/2011,12/9/2011,12/16/2011,12/23/2011,12/30/2011,1/6/2012,1/13/2012,1/20/2012,1/27/2012,2/3/2012,2/10/2012,2/17/2012,2/24/2012,3/2/2012,3/9/2012,3/16/2012,3/23/2012,3/30/2012,4/5/2012,4/13/2012,4/20/2012,4/27/2012,5/4/2012,5/11/2012,5/18/2012,5/25/2012,6/1/2012,6/8/2012,6/15/2012,6/22/2012,6/29/2012,7/6/2012,7/13/2012,7/20/2012,7/27/2012,8/3/2012,8/10/2012,8/17/2012,8/24/2012,8/31/2012,9/7/2012,9/14/2012,9/21/2012,9/28/2012,10/5/2012,10/12/2012,10/19/2012,10/26/2012,11/2/2012,11/9/2012,11/16/2012,11/23/2012,11/30/2012,12/7/2012,12/14/2012,12/21/2012,12/28/2012,1/4/2013,1/11/2013,1/18/2013,1/25/2013,2/1/2013,2/8/2013,2/15/2013
1.0_5_400,97494,79986,57539,51542,29501,26492,46241,48056,54727,60953,34592,32542,22365,28026,24297,33340,44168,52012,63639,58236,81525,94873,93378,107505,119003,129087,133999,132976,129973,135136,128382,139328,139604,161232,176952,166138,136154,119836,100886,62792,33609,-380,-37606,-30970,-72038,-94160,-110223,-102535,-102385,-97479,-89239,-64758,-50837,-62762,-37457,-42668,-33200,-31569,-4730,8147,22396,1529,11035,26951,49634,72016,100768,126219,148240,155247,159185,180929,220179,241295,272195,285677,318425,352044,378543,367579,398437,425111,451125,487439,523407,557297,578014,616656,622964,660373,696194,709569,742890,773224,768994,796080,823718,853206,883737,902160,929681,957220,983429,1014601,1027593,1047226,1081956,1102332,1117867,1141875,1171436,1191049,1210828,1232633,1250179,1263179,1288883,1310055,1325517,1339346,1342217,1325147,1325743,1317215,1328475,1346762,1355807,1368223,1356259,1326315,1349561,1360257,1375337,1389752,1401101,1391029,1396417,1400931,1411097,1427299,1441464,1455773,1475732,1484392,1496146,1514862,1530792,1544010,1556780,1560747,1567912,1570771,1585527,1595505,1613054,1637978,1642501,1649290,1671230,1682662,1681014,1695191,1710419,1729614,1739645,1746133,1742401,1754446,1769847,1783489,1792807,1807278,1817675,1814132,1832921,1848393,1865122,1887381,1894223,1912976,1915231,1900056,1918257,1932921,1944706,1942134,1904733,1898961,1889397,1889202,1890373,1899983,1879848,1864736,1869937,1862346,1860828,1867648,1873621,1877778,1883376,1896111,1907563,1888026,1905666,1898821,1909903,1940030,1969001,1979434,2008370,2023467,2035670,2060409,2084177,2114869,2131693,2145800,2160132,2183402,2203411,2228272,2248647,2270272,2279088,2301181,2319095,2324636,2334240,2363339,2361226,2369981,2375734,2390078,2404028,2416191,2429518,2444711,2456538,2468750,2492945,2513598,2538126,2567442,2584608,2603947,2613165,2628190,2639729,2641187,2650971,2671238,2682590,2684036,2696875,2714423,2727027,2736524,2740538,2764401,2781503,2796542,2814584,2837442,2851586,2865836,2885251
1.25_5_400,98234,80602,58803,53199,30464,28261,44458,46769,53556,56873,30136,30218,19199,24598,18989,24234,33356,42714,54497,49033,68988,81821,81741,94420,102717,110607,114115,113490,110064,115322,107987,118142,118686,140764,151063,138798,107915,94033,76235,43608,19992,-12963,-44196,-40830,-78062,-102322,-115711,-109922,-109700,-102098,-92145,-66604,-54340,-62092,-41279,-43755,-34351,-30229,-6877,5047,18677,41,10433,27249,48257,70613,97098,120888,144114,152457,157978,180179,216299,237219,269101,283132,314255,347219,375951,366375,395902,422592,449361,485566,519267,551372,571583,608182,616585,653317,689011,702572,735340,766243,761510,786803,812206,842324,872145,891331,919766,946500,970476,999775,1013046,1031808,1064469,1081769,1097921,1118885,1145073,1164493,1185055,1207312,1224465,1237441,1261091,1281414,1296474,1309737,1312817,1293393,1294622,1285016,1296412,1311537,1318730,1329482,1318643,1287472,1307335,1315864,1329657,1340887,1352226,1342982,1349628,1353882,1363451,1375585,1387871,1400859,1418543,1425886,1437860,1455362,1470544,1484072,1494185,1499790,1507725,1510246,1523291,1533341,1550252,1573101,1579267,1586686,1605918,1615658,1614908,1628216,1641561,1657384,1668879,1674831,1672089,1682840,1696995,1711101,1720412,1734555,1745679,1741811,1759914,1773639,1788094,1807376,1815230,1831860,1835081,1818154,1832776,1846781,1857835,1855705,1816085,1813478,1799673,1799171,1804657,1811799,1789710,1773130,1777172,1770523,1768510,1774269,1777739,1783697,1789169,1800888,1809261,1789630,1804137,1798509,1810510,1837668,1863373,1873821,1900938,1915252,1927619,1950075,1972584,2000673,2018938,2034899,2049261,2072013,2090956,2114586,2133852,2154239,2163752,2185352,2202395,2209933,2218404,2244358,2245008,2253530,2261588,2273717,2287912,2300137,2313933,2327960,2338282,2350708,2374272,2392922,2418316,2445233,2459522,2476572,2486930,2501492,2512065,2513364,2522780,2540858,2552238,2553239,2565160,2581789,2592985,2602905,2608631,2630734,2644511,2656426,2673401,2693724,2707646,2722184,2741021
1.0_10_400,98969,77026,53691,50555,31383,29382,44937,45974,55960,60296,35055,35763,24459,31587,27585,35149,45491,54541,65224,60606,76848,89233,89751,100848,110474,118819,120293,120331,117451,122326,115896,123842,124105,144178,159455,149840,120556,103890,83167,51560,41405,7707,-25745,-26131,-67063,-88153,-105336,-100825,-97257,-88945,-80561,-57107,-40753,-49107,-34838,-37907,-29257,-26373,-4701,4141,17656,-3624,7005,22119,44029,65108,90636,114526,137118,144048,152834,173097,208217,230434,259514,272375,302513,334861,361259,351693,378695,403438,430857,463862,500289,535150,557663,596388,606436,641447,677125,689916,723396,751794,748059,772971,798897,827004,856734,876737,904849,930901,954750,982772,997047,1016846,1047212,1067928,1081670,1105042,1129771,1148303,1165644,1186501,1206248,1220145,1244249,1265267,1281218,1296597,1301426,1279169,1278876,1268470,1276920,1292085,1301735,1311838,1305205,1274686,1283196,1292127,1302555,1315310,1325928,1315649,1322037,1327871,1337318,1351053,1361798,1373696,1390800,1401349,1414954,1431895,1444689,1460838,1471576,1473824,1484848,1487066,1501527,1509952,1526090,1548053,1552448,1558930,1576510,1588188,1588014,1600228,1612427,1629978,1641978,1647612,1644352,1655214,1669181,1681512,1689724,1703091,1713419,1711177,1726375,1740911,1754186,1772517,1777062,1789352,1790210,1773636,1786659,1797188,1808454,1806703,1768629,1763645,1749691,1748819,1753824,1761266,1739762,1722401,1726018,1717445,1714799,1718632,1723647,1726461,1736463,1748768,1758842,1741858,1756001,1751210,1762123,1783961,1805977,1818595,1842996,1857349,1870394,1894093,1913334,1941004,1958425,1973696,1987665,2005988,2025903,2048346,2070055,2088563,2099826,2119263,2137128,2145139,2152893,2173528,2170873,2180527,2188997,2205407,2219344,2229540,2242435,2258247,2270982,2280920,2298411,2319086,2341998,2366721,2383395,2396709,2407079,2419766,2431329,2430945,2440989,2451258,2461816,2462183,2470105,2482740,2493919,2503384,2507456,2525699,2537753,2549525,2565293,2583515,2595891,2609317,2624846
1.5_5_400,96619,78022,58038,51770,30122,28693,41432,42966,48488,50800,26155,27006,16256,20530,14014,17747,26634,36645,49425,45878,63239,75133,77670,90195,97695,105183,107590,104961,102920,106808,100703,110230,110287,130615,134233,120805,92066,79987,66877,40236,24943,-4541,-32989,-30993,-67435,-93411,-107066,-102855,-102655,-94355,-84408,-58855,-48178,-54748,-37985,-38640,-29559,-20981,-2092,10827,23703,4544,15495,31464,51552,71272,95614,118760,140025,148100,153759,174506,208547,227746,258562,274491,305734,336277,364628,357725,384623,408730,435719,471802,504688,536102,557572,590331,598068,635729,670259,685794,719513,749870,745841,771319,796059,826111,856001,875419,902897,928003,951532,980705,994618,1013576,1042620,1057284,1073226,1091055,1114787,1133561,1153548,1174473,1193865,1207177,1230519,1249689,1264931,1277861,1282691,1260389,1260723,1249078,1259199,1270490,1277206,1285995,1274387,1243815,1261174,1270427,1282353,1291975,1302276,1292060,1296920,1302232,1310972,1320603,1330322,1343165,1360159,1368870,1381253,1397668,1411162,1422914,1429976,1437131,1445847,1447612,1459229,1467692,1483473,1505589,1510980,1518231,1534329,1543693,1543888,1554814,1567968,1581061,1591237,1596888,1596839,1607730,1621694,1635630,1645533,1658772,1669618,1664678,1680709,1692269,1704810,1720507,1726820,1741277,1744801,1727948,1740746,1753453,1764185,1763005,1721241,1719309,1703644,1703451,1708473,1714787,1693076,1673454,1676640,1671579,1670692,1675154,1674510,1679554,1686462,1697071,1704760,1685546,1697762,1693231,1705090,1730392,1751917,1762084,1786778,1799122,1811436,1831652,1852526,1878195,1896462,1912030,1925626,1948081,1966966,1989530,2008299,2028923,2039141,2058767,2072450,2080506,2089473,2113132,2115112,2123864,2132116,2142934,2155334,2167652,2181413,2194583,2203449,2215055,2237871,2256290,2280973,2304649,2316275,2332086,2342712,2356613,2366796,2368104,2379517,2396134,2405689,2406515,2416796,2432656,2444904,2454426,2460513,2481331,2490034,2500508,2516673,2535227,2547547,2561972,2580639
1.0_5_350,93953,73185,44892,30994,8872,4372,19652,20537,23660,26580,-2384,-5452,-16752,-11604,-20314,-13575,-3856,2066,12299,6236,27011,38645,36250,49477,56655,63746,65915,59919,54562,59562,51584,61410,60681,82239,87568,76162,43112,24409,20,-37453,-69369,-106853,-143310,-144064,-184067,-211946,-232015,-229273,-232625,-228149,-220589,-196008,-182297,-194482,-171987,-177118,-167780,-166479,-142022,-130415,-119324,-141739,-132181,-116165,-94108,-72178,-43376,-18063,4008,10419,14381,36125,75425,96215,127115,140597,173345,206964,233463,222549,252923,278747,304811,341125,377093,410983,431700,469902,476260,513709,549530,562905,596226,626088,621858,648828,676369,705857,736388,754811,782332,809871,835648,866838,879880,898663,932923,952837,967028,990856,1020417,1040080,1059069,1080460,1096826,1109876,1135580,1156312,1171438,1184695,1186128,1163071,1163112,1143011,1151131,1166844,1175054,1186886,1172643,1141609,1161082,1171174,1182892,1197239,1207958,1196748,1201718,1205246,1212714,1227696,1241400,1254149,1273688,1280864,1292268,1310407,1324957,1335541,1345609,1349751,1355749,1355316,1370172,1379503,1395773,1420747,1425468,1430445,1448666,1458855,1456035,1469647,1484565,1500830,1510409,1513916,1509454,1520307,1535908,1549232,1557654,1569937,1578365,1574721,1592897,1608393,1624620,1642793,1649062,1666847,1667272,1647192,1664097,1677837,1687587,1682417,1643748,1636388,1614741,1613313,1612254,1613311,1590999,1568202,1570455,1555352,1550763,1556441,1554327,1557512,1562676,1572483,1581575,1561899,1579629,1572754,1582742,1612919,1641020,1651453,1679230,1693099,1704316,1728323,1751509,1781778,1798253,1812410,1825986,1849266,1868921,1892892,1913327,1935092,1943609,1964016,1981060,1985581,1994975,2022914,2020421,2028746,2034571,2046219,2059759,2071434,2084359,2097578,2109275,2121330,2145119,2165432,2189960,2217484,2231117,2248048,2257416,2271241,2282354,2282890,2292810,2310613,2320272,2320377,2332628,2349756,2361102,2370189,2373943,2397956,2406935,2419633,2437195,2457449,2470051,2482915,2501330
1.75_5_400,96100,77018,58157,51222,30744,29789,40573,41905,48342,50740,26922,28613,16744,20035,13500,17122,24797,34237,46548,43078,57536,69212,72568,84129,90714,95855,98985,95435,94091,97589,93751,102355,102678,120890,122880,112337,84521,74113,64574,44922,33562,6162,-17202,-13332,-46510,-73641,-81120,-80334,-79957,-72089,-61107,-36157,-26928,-30390,-16490,-16025,-8317,1557,18148,30214,40711,21844,32193,46420,64264,80323,102885,124826,145302,154032,162536,184258,215146,234376,264085,281064,310053,339440,367101,360788,385360,408350,433469,468622,499791,530510,551541,581454,588175,624872,657469,675753,708949,738377,736035,759964,783394,812516,840732,861729,888117,913291,936453,964414,978954,997216,1023695,1035928,1051395,1066378,1087373,1106549,1125493,1144780,1163801,1176622,1198654,1217415,1231465,1243991,1249310,1226555,1225125,1213094,1222987,1231298,1236600,1243990,1233156,1203910,1218131,1226495,1235431,1243319,1252199,1242359,1247431,1254405,1261480,1269111,1278973,1291057,1307181,1315749,1328129,1342864,1354798,1366501,1371660,1379022,1386255,1387783,1397272,1405836,1421835,1442666,1449305,1455303,1470088,1480139,1481276,1491213,1504114,1513927,1522962,1527141,1526897,1536839,1549740,1562291,1572984,1584479,1593659,1589462,1604522,1615242,1626821,1641162,1646386,1660000,1663417,1647274,1657273,1669266,1678807,1676733,1637961,1636544,1621584,1622368,1629352,1634928,1615593,1593831,1595907,1592187,1592446,1596745,1594956,1600441,1607650,1616678,1622355,1604672,1615611,1613958,1624727,1647421,1666467,1676570,1698445,1709569,1722022,1740324,1761066,1783928,1801822,1818392,1832111,1854273,1873602,1894205,1911663,1929358,1939779,1958355,1971006,1979695,1988824,2009707,2011525,2022022,2030171,2040188,2051735,2064792,2078293,2090446,2099662,2111061,2134349,2152183,2175533,2196177,2206012,2220390,2231632,2245295,2255878,2257204,2267652,2282436,2290720,2291128,2301160,2315353,2326450,2334405,2339153,2358009,2364298,2373563,2388463,2404271,2416121,2429550,2446984
1.25_10_400,102076,82841,61984,56444,38602,37796,49842,51202,58571,61545,38550,38816,28915,36923,33710,39636,47482,55391,64804,60745,72016,83728,84323,95113,103239,107003,106175,105468,103624,104981,97869,104054,106040,123486,131926,124782,96771,81229,60476,35550,31993,2699,-24639,-26104,-66919,-87258,-99306,-98781,-96139,-87475,-77968,-58717,-45403,-53214,-41463,-42011,-32123,-24708,-6719,1145,12121,-6071,3290,15960,35329,56889,79257,101645,123956,132038,142604,162262,193915,214311,241229,255103,282724,314664,342876,336245,359909,383994,410316,441550,476061,509908,532771,567931,579007,611011,645633,660065,692574,721644,719276,740131,765307,790448,818413,838260,865407,890795,914032,939487,955004,974381,1001284,1018889,1030946,1052150,1072614,1090952,1109978,1128758,1148054,1162331,1184769,1205339,1220100,1233780,1238073,1211051,1208985,1194147,1200857,1212053,1220459,1228665,1218786,1188814,1194026,1201552,1209111,1218232,1226270,1216541,1221155,1227390,1236493,1246743,1254797,1266601,1281819,1291645,1304653,1320007,1332514,1345425,1352473,1357626,1367874,1368820,1381187,1388809,1403566,1423218,1428174,1434860,1449529,1460038,1460417,1470104,1480376,1494813,1506570,1509687,1508104,1517026,1528755,1541129,1549684,1560224,1570489,1566826,1580734,1595037,1605050,1619490,1625493,1634561,1637639,1622477,1632584,1641648,1650642,1648658,1610553,1608280,1596708,1597877,1600146,1604133,1585380,1563651,1565940,1559284,1559228,1562778,1564189,1568028,1576865,1588684,1595653,1583197,1593951,1591534,1601111,1618842,1637686,1650586,1670719,1683256,1695254,1715585,1733702,1757535,1773621,1788152,1800248,1816779,1836452,1857205,1876801,1892435,1904133,1922238,1938441,1945228,1952518,1970504,1968132,1979919,1989353,2002227,2017187,2026581,2038399,2050683,2060719,2070080,2085194,2104503,2126134,2147961,2162596,2174372,2184638,2195906,2206115,2207581,2216361,2225053,2233237,2233637,2240925,2250878,2260589,2269681,2272817,2288153,2294056,2303678,2318449,2332839,2344436,2357163,2372359
1.25_5_350,96160,73907,49132,35450,12921,9261,22479,22668,25983,28746,-260,-1144,-13038,-8586,-19750,-15598,-7073,-409,9153,2995,20495,31848,30468,42807,47564,52628,53962,45555,39529,42958,33604,43169,42593,64641,62997,49911,17949,1706,-17982,-50022,-75172,-111724,-144873,-146477,-182263,-214397,-231432,-230912,-234050,-227618,-217975,-192334,-180466,-189308,-170657,-172953,-165109,-161237,-141527,-130113,-120517,-141179,-130695,-113759,-93637,-72193,-46108,-22456,410,7767,13056,35257,71427,92051,123933,137964,169087,202051,230783,221257,250784,276624,303443,339648,373349,405454,425665,461774,470227,507009,542703,556264,589032,619463,614730,639907,665360,695478,725299,744485,772920,799654,823630,852947,866268,885030,916755,933205,948537,969321,995509,1014979,1034229,1056072,1072097,1085123,1108773,1128656,1143380,1156650,1158910,1133037,1132297,1111364,1120319,1133346,1138653,1148511,1135467,1103269,1119306,1127345,1136192,1146512,1157479,1146947,1152273,1155670,1161631,1173035,1184860,1196011,1213795,1219854,1231058,1248073,1261305,1271869,1279982,1285762,1293117,1292690,1305465,1315425,1331926,1354825,1360367,1364978,1381436,1389512,1387471,1400274,1413359,1427574,1438129,1440960,1437246,1446365,1460770,1474754,1483169,1495168,1505225,1501125,1518985,1532804,1546513,1559629,1566988,1582712,1584111,1563120,1576521,1589430,1598646,1594262,1552899,1549542,1529210,1527825,1531883,1530956,1507406,1483898,1484451,1473620,1469782,1474603,1469786,1471658,1476732,1485343,1491473,1470931,1485212,1479448,1489905,1517113,1541078,1551556,1575870,1589556,1601458,1622152,1644079,1671745,1689481,1705442,1718990,1741792,1760381,1783581,1802877,1822516,1830883,1850843,1866633,1872357,1880291,1905537,1905682,1913364,1921112,1931961,1945706,1957473,1970837,1983332,1994021,2006310,2029468,2048008,2073432,2097617,2107983,2122693,2133201,2146593,2156810,2157407,2166483,2182513,2191721,2192105,2203729,2219478,2229522,2239142,2244108,2266261,2271102,2282117,2297735,2315974,2327808,2340602,2357461
2.0_5_400,98461,76762,60455,56790,39436,38643,48149,50095,54687,56429,37448,39509,27988,31643,26362,29538,37228,45304,57840,55173,67369,78312,81915,92541,98107,101310,103540,101388,100025,101567,97054,104731,105726,122236,121838,113126,88009,79629,71369,57025,48580,25445,10520,12716,-11484,-37018,-42905,-42823,-42705,-34611,-24274,-809,7807,4805,15868,18273,24050,33930,48489,58952,68044,49656,58741,70285,85820,99195,118386,137901,158180,166220,176270,197171,225247,245236,273622,291314,318869,345909,371387,366674,388277,410822,434578,469322,497710,527413,549605,576409,584445,619482,650890,670206,701831,730081,727376,749235,771225,800147,826465,847633,873306,896672,917985,944774,959916,976803,1001223,1010972,1024699,1038394,1056866,1075178,1093866,1111155,1130323,1142900,1163092,1180216,1194559,1205264,1210538,1185530,1184419,1166704,1174543,1180928,1185115,1191111,1181662,1152951,1165517,1172848,1179805,1185605,1194258,1185107,1189732,1196221,1202762,1208722,1218182,1230566,1244451,1252545,1263506,1277605,1288517,1298634,1304101,1311987,1318948,1320210,1328502,1336892,1352320,1372645,1378798,1383745,1396774,1406074,1406537,1416678,1428778,1436430,1445065,1447975,1449100,1457508,1470570,1483000,1492966,1503860,1512743,1509982,1523461,1532942,1543693,1555850,1560559,1572476,1576522,1562121,1570387,1581066,1589684,1587345,1551297,1550659,1538672,1540666,1547847,1551566,1534911,1515554,1516551,1513583,1514679,1520145,1515871,1520547,1527514,1534616,1538627,1521702,1531005,1529341,1540906,1561531,1578328,1587556,1607808,1617310,1628874,1644911,1664598,1685116,1703030,1719143,1732327,1753477,1771621,1790392,1806326,1822248,1832485,1848938,1860740,1869361,1878692,1897807,1899606,1911333,1920645,1929559,1939143,1952940,1966253,1976262,1983597,1995325,2018435,2035637,2057935,2077655,2087176,2100731,2111202,2123669,2133266,2134971,2144140,2157647,2165127,2165685,2174197,2186798,2196466,2205055,2209444,2226279,2229081,2237160,2251542,2264729,2274878,2287551,2304323
1.0_10_350,96275,74698,47724,36324,16878,11369,22497,22131,29719,30921,4319,2879,-10970,-5900,-14092,-7738,1071,7523,16844,11576,23381,34676,34424,44925,50645,55374,54764,51483,45952,49454,40089,47525,47232,66900,74328,62575,30702,11520,-13455,-43715,-56246,-92169,-127037,-132000,-172052,-196052,-215151,-215350,-215082,-206470,-198056,-175824,-159680,-168744,-156525,-159454,-153536,-150902,-132072,-125090,-114813,-137230,-127260,-113516,-92226,-71599,-46021,-22709,-477,5471,14066,34379,69499,91380,120420,133281,163419,195767,222165,212659,239231,263124,290543,323548,359975,394836,417349,455600,465648,500699,536377,549168,582648,610574,606839,630831,656807,684914,714644,734647,762759,788811,812228,840268,854593,873962,903450,922204,935586,958958,983217,1001749,1017824,1038267,1057436,1070799,1094903,1115481,1131096,1145986,1148837,1120617,1120254,1097651,1104956,1117175,1125534,1135087,1124886,1092615,1097167,1105574,1113842,1126047,1135579,1124688,1129878,1133759,1138143,1150228,1160532,1170728,1187982,1196127,1209292,1225656,1236980,1250151,1259499,1261912,1272039,1272588,1287099,1295484,1310223,1332236,1335867,1337791,1352724,1363201,1362572,1373996,1385415,1401150,1411480,1413073,1409575,1418465,1432582,1444286,1452112,1463677,1472222,1470072,1484727,1499313,1511604,1526485,1530480,1541992,1541271,1521334,1533136,1542991,1551929,1546931,1506813,1499238,1483716,1481764,1484609,1481292,1457983,1431734,1432253,1419204,1415192,1416835,1414858,1414784,1422578,1431773,1439477,1421683,1435620,1430645,1440362,1462200,1481486,1494104,1514443,1528098,1540558,1562809,1582190,1608977,1626538,1641369,1655152,1673515,1693126,1715139,1736832,1753756,1763683,1781430,1798985,1804858,1811969,1830722,1827829,1836913,1845035,1857791,1870948,1881376,1893667,1906019,1917534,1927682,1945377,1965712,1988674,2011675,2026156,2037620,2048140,2060130,2070437,2069051,2078691,2088045,2096569,2094625,2102143,2114378,2123899,2132158,2135560,2153903,2157952,2169504,2184982,2200642,2210756,2222454,2236703
